,RK,TEAM,RECORD,PTS,POLL,SEASON,WEEK,TITLE,TEAM_PARSED
7,6,Pittsburgh,12-1,1273,AP Top 25,2010-11,8,2011 NCAA Men's Basketball Rankings -  Week 8 (Dec. 27),Pittsburgh
8,7,San Diego State,14-0,1157,AP Top 25,2010-11,8,2011 NCAA Men's Basketball Rankings -  Week 8 (Dec. 27),San Diego State
9,8,Villanova,10-1,1135,AP Top 25,2010-11,8,2011 NCAA Men's Basketball Rankings -  Week 8 (Dec. 27),Villanova
10,9,Georgetown,11-1,1106,AP Top 25,2010-11,8,2011 NCAA Men's Basketball Rankings -  Week 8 (Dec. 27),Georgetown
11,10,Missouri,11-1,1085,AP Top 25,2010-11,8,2011 NCAA Men's Basketball Rankings -  Week 8 (Dec. 27),Missouri
12,11,Kentucky,9-2,969,AP Top 25,2010-11,8,2011 NCAA Men's Basketball Rankings -  Week 8 (Dec. 27),Kentucky
13,12,Purdue,11-1,857,AP Top 25,2010-11,8,2011 NCAA Men's Basketball Rankings -  Week 8 (Dec. 27),Purdue
14,13,Texas,10-2,829,AP Top 25,2010-11,8,2011 NCAA Men's Basketball Rankings -  Week 8 (Dec. 27),Texas
15,14,Minnesota,11-1,717,AP Top 25,2010-11,8,2011 NCAA Men's Basketball Rankings -  Week 8 (Dec. 27),Minnesota
16,15,Notre Dame,11-1,559,AP Top 25,2010-11,8,2011 NCAA Men's Basketball Rankings -  Week 8 (Dec. 27),Notre Dame
17,16,BYU,12-1,541,AP Top 25,2010-11,8,2011 NCAA Men's Basketball Rankings -  Week 8 (Dec. 27),BYU
18,17,Kansas State,10-3,493,AP Top 25,2010-11,8,2011 NCAA Men's Basketball Rankings -  Week 8 (Dec. 27),Kansas State
19,18,Texas A&M,11-1,432,AP Top 25,2010-11,8,2011 NCAA Men's Basketball Rankings -  Week 8 (Dec. 27),Texas A&M
20,19,UCF,11-0,420,AP Top 25,2010-11,8,2011 NCAA Men's Basketball Rankings -  Week 8 (Dec. 27),UCF
21,20,Michigan State,8-4,404,AP Top 25,2010-11,8,2011 NCAA Men's Basketball Rankings -  Week 8 (Dec. 27),Michigan State
22,21,Memphis,9-2,319,AP Top 25,2010-11,8,2011 NCAA Men's Basketball Rankings -  Week 8 (Dec. 27),Memphis
23,22,Louisville,10-1,263,AP Top 25,2010-11,8,2011 NCAA Men's Basketball Rankings -  Week 8 (Dec. 27),Louisville
24,23,Illinois,10-3,180,AP Top 25,2010-11,8,2011 NCAA Men's Basketball Rankings -  Week 8 (Dec. 27),Illinois
25,24,Vanderbilt,9-2,127,AP Top 25,2010-11,8,2011 NCAA Men's Basketball Rankings -  Week 8 (Dec. 27),Vanderbilt
26,25,Temple,9-2,122,AP Top 25,2010-11,8,2011 NCAA Men's Basketball Rankings -  Week 8 (Dec. 27),Temple
2,1,Duke (31),11-0,775,USA Today Coaches Poll,2010-11,8,2011 NCAA Men's Basketball Rankings -  Week 8 (Dec. 27),Duke
3,2,Ohio State,12-0,742,USA Today Coaches Poll,2010-11,8,2011 NCAA Men's Basketball Rankings -  Week 8 (Dec. 27),Ohio State
4,3,Kansas,11-0,712,USA Today Coaches Poll,2010-11,8,2011 NCAA Men's Basketball Rankings -  Week 8 (Dec. 27),Kansas
5,4,Connecticut,10-0,673,USA Today Coaches Poll,2010-11,8,2011 NCAA Men's Basketball Rankings -  Week 8 (Dec. 27),Connecticut
6,5,Syracuse,13-0,656,USA Today Coaches Poll,2010-11,8,2011 NCAA Men's Basketball Rankings -  Week 8 (Dec. 27),Syracuse
7,6,Pittsburgh,12-1,598,USA Today Coaches Poll,2010-11,8,2011 NCAA Men's Basketball Rankings -  Week 8 (Dec. 27),Pittsburgh
8,7,San Diego State,14-0,571,USA Today Coaches Poll,2010-11,8,2011 NCAA Men's Basketball Rankings -  Week 8 (Dec. 27),San Diego State
9,8,Villanova,10-1,543,USA Today Coaches Poll,2010-11,8,2011 NCAA Men's Basketball Rankings -  Week 8 (Dec. 27),Villanova
10,9,Georgetown,11-1,538,USA Today Coaches Poll,2010-11,8,2011 NCAA Men's Basketball Rankings -  Week 8 (Dec. 27),Georgetown
11,10,Missouri,11-1,514,USA Today Coaches Poll,2010-11,8,2011 NCAA Men's Basketball Rankings -  Week 8 (Dec. 27),Missouri
12,11,Purdue,11-1,446,USA Today Coaches Poll,2010-11,8,2011 NCAA Men's Basketball Rankings -  Week 8 (Dec. 27),Purdue
13,12,Kentucky,9-2,433,USA Today Coaches Poll,2010-11,8,2011 NCAA Men's Basketball Rankings -  Week 8 (Dec. 27),Kentucky
14,13,Minnesota,11-1,371,USA Today Coaches Poll,2010-11,8,2011 NCAA Men's Basketball Rankings -  Week 8 (Dec. 27),Minnesota
15,14,Texas,10-2,330,USA Today Coaches Poll,2010-11,8,2011 NCAA Men's Basketball Rankings -  Week 8 (Dec. 27),Texas
16,15,Notre Dame,11-1,317,USA Today Coaches Poll,2010-11,8,2011 NCAA Men's Basketball Rankings -  Week 8 (Dec. 27),Notre Dame
17,16,BYU,12-1,268,USA Today Coaches Poll,2010-11,8,2011 NCAA Men's Basketball Rankings -  Week 8 (Dec. 27),BYU
18,17,Kansas State,10-3,230,USA Today Coaches Poll,2010-11,8,2011 NCAA Men's Basketball Rankings -  Week 8 (Dec. 27),Kansas State
19,18,Texas A&M,11-1,222,USA Today Coaches Poll,2010-11,8,2011 NCAA Men's Basketball Rankings -  Week 8 (Dec. 27),Texas A&M
20,19,Michigan State,8-4,180,USA Today Coaches Poll,2010-11,8,2011 NCAA Men's Basketball Rankings -  Week 8 (Dec. 27),Michigan State
21,20,Louisville,10-1,152,USA Today Coaches Poll,2010-11,8,2011 NCAA Men's Basketball Rankings -  Week 8 (Dec. 27),Louisville
22,21,UCF,11-0,115,USA Today Coaches Poll,2010-11,8,2011 NCAA Men's Basketball Rankings -  Week 8 (Dec. 27),UCF
23,22,Memphis,9-2,104,USA Today Coaches Poll,2010-11,8,2011 NCAA Men's Basketball Rankings -  Week 8 (Dec. 27),Memphis
24,23,Baylor,8-3,81,USA Today Coaches Poll,2010-11,8,2011 NCAA Men's Basketball Rankings -  Week 8 (Dec. 27),Baylor
25,24,Wisconsin,10-2,77,USA Today Coaches Poll,2010-11,8,2011 NCAA Men's Basketball Rankings -  Week 8 (Dec. 27),Wisconsin
26,25,Illinois,10-3,72,USA Today Coaches Poll,2010-11,8,2011 NCAA Men's Basketball Rankings -  Week 8 (Dec. 27),Illinois
2,1,Duke (65),13-0,1625,AP Top 25,2010-11,9,2011 NCAA Men's Basketball Rankings -  Week 9 (Jan. 3),Duke
3,2,Ohio State,14-0,1551,AP Top 25,2010-11,9,2011 NCAA Men's Basketball Rankings -  Week 9 (Jan. 3),Ohio State
4,3,Kansas,13-0,1491,AP Top 25,2010-11,9,2011 NCAA Men's Basketball Rankings -  Week 9 (Jan. 3),Kansas
5,4,Syracuse,15-0,1437,AP Top 25,2010-11,9,2011 NCAA Men's Basketball Rankings -  Week 9 (Jan. 3),Syracuse
6,5,Pittsburgh,13-1,1358,AP Top 25,2010-11,9,2011 NCAA Men's Basketball Rankings -  Week 9 (Jan. 3),Pittsburgh
7,6,San Diego State,15-0,1198,AP Top 25,2010-11,9,2011 NCAA Men's Basketball Rankings -  Week 9 (Jan. 3),San Diego State
8,7,Villanova,12-1,1187,AP Top 25,2010-11,9,2011 NCAA Men's Basketball Rankings -  Week 9 (Jan. 3),Villanova
9,8,Connecticut,11-1,1168,AP Top 25,2010-11,9,2011 NCAA Men's Basketball Rankings -  Week 9 (Jan. 3),Connecticut
10,9,Missouri,13-1,1116,AP Top 25,2010-11,9,2011 NCAA Men's Basketball Rankings -  Week 9 (Jan. 3),Missouri
11,10,Kentucky,11-2,1052,AP Top 25,2010-11,9,2011 NCAA Men's Basketball Rankings -  Week 9 (Jan. 3),Kentucky
12,11,Purdue,13-1,930,AP Top 25,2010-11,9,2011 NCAA Men's Basketball Rankings -  Week 9 (Jan. 3),Purdue
13,12,Texas,11-2,902,AP Top 25,2010-11,9,2011 NCAA Men's Basketball Rankings -  Week 9 (Jan. 3),Texas
14,13,Georgetown,12-2,834,AP Top 25,2010-11,9,2011 NCAA Men's Basketball Rankings -  Week 9 (Jan. 3),Georgetown
15,14,Notre Dame,12-2,688,AP Top 25,2010-11,9,2011 NCAA Men's Basketball Rankings -  Week 9 (Jan. 3),Notre Dame
16,15,BYU,14-1,648,AP Top 25,2010-11,9,2011 NCAA Men's Basketball Rankings -  Week 9 (Jan. 3),BYU
17,16,Texas A&M,12-1,569,AP Top 25,2010-11,9,2011 NCAA Men's Basketball Rankings -  Week 9 (Jan. 3),Texas A&M
18,17,Kansas State,11-3,523,AP Top 25,2010-11,9,2011 NCAA Men's Basketball Rankings -  Week 9 (Jan. 3),Kansas State
19,18,Michigan State,9-4,504,AP Top 25,2010-11,9,2011 NCAA Men's Basketball Rankings -  Week 9 (Jan. 3),Michigan State
20,19,UCF,13-0,490,AP Top 25,2010-11,9,2011 NCAA Men's Basketball Rankings -  Week 9 (Jan. 3),UCF
21,20,Illinois,12-3,328,AP Top 25,2010-11,9,2011 NCAA Men's Basketball Rankings -  Week 9 (Jan. 3),Illinois
22,21,Memphis,11-2,313,AP Top 25,2010-11,9,2011 NCAA Men's Basketball Rankings -  Week 9 (Jan. 3),Memphis
23,22,Vanderbilt,11-2,238,AP Top 25,2010-11,9,2011 NCAA Men's Basketball Rankings -  Week 9 (Jan. 3),Vanderbilt
24,23,Washington,10-3,173,AP Top 25,2010-11,9,2011 NCAA Men's Basketball Rankings -  Week 9 (Jan. 3),Washington
25,24,Cincinnati,14-0,159,AP Top 25,2010-11,9,2011 NCAA Men's Basketball Rankings -  Week 9 (Jan. 3),Cincinnati
26,25,UNLV,12-2,136,AP Top 25,2010-11,9,2011 NCAA Men's Basketball Rankings -  Week 9 (Jan. 3),UNLV
2,1,Duke (31),13-0,775,USA Today Coaches Poll,2010-11,9,2011 NCAA Men's Basketball Rankings -  Week 9 (Jan. 3),Duke
3,2,Ohio State,14-0,742,USA Today Coaches Poll,2010-11,9,2011 NCAA Men's Basketball Rankings -  Week 9 (Jan. 3),Ohio State
4,3,Kansas,13-0,714,USA Today Coaches Poll,2010-11,9,2011 NCAA Men's Basketball Rankings -  Week 9 (Jan. 3),Kansas
5,4,Syracuse,15-0,678,USA Today Coaches Poll,2010-11,9,2011 NCAA Men's Basketball Rankings -  Week 9 (Jan. 3),Syracuse
6,5,Pittsburgh,13-1,639,USA Today Coaches Poll,2010-11,9,2011 NCAA Men's Basketball Rankings -  Week 9 (Jan. 3),Pittsburgh
7,6,San Diego State,15-0,600,USA Today Coaches Poll,2010-11,9,2011 NCAA Men's Basketball Rankings -  Week 9 (Jan. 3),San Diego State
8,7,Villanova,12-1,577,USA Today Coaches Poll,2010-11,9,2011 NCAA Men's Basketball Rankings -  Week 9 (Jan. 3),Villanova
9,8,Missouri,13-1,536,USA Today Coaches Poll,2010-11,9,2011 NCAA Men's Basketball Rankings -  Week 9 (Jan. 3),Missouri
10,9,Connecticut,11-1,516,USA Today Coaches Poll,2010-11,9,2011 NCAA Men's Basketball Rankings -  Week 9 (Jan. 3),Connecticut
11,10,Purdue,13-1,489,USA Today Coaches Poll,2010-11,9,2011 NCAA Men's Basketball Rankings -  Week 9 (Jan. 3),Purdue
12,11,Kentucky,11-2,477,USA Today Coaches Poll,2010-11,9,2011 NCAA Men's Basketball Rankings -  Week 9 (Jan. 3),Kentucky
13,12,Texas,11-2,424,USA Today Coaches Poll,2010-11,9,2011 NCAA Men's Basketball Rankings -  Week 9 (Jan. 3),Texas
14,13,Georgetown,12-2,417,USA Today Coaches Poll,2010-11,9,2011 NCAA Men's Basketball Rankings -  Week 9 (Jan. 3),Georgetown
15,14,BYU,14-1,356,USA Today Coaches Poll,2010-11,9,2011 NCAA Men's Basketball Rankings -  Week 9 (Jan. 3),BYU
16,15,Notre Dame,12-2,316,USA Today Coaches Poll,2010-11,9,2011 NCAA Men's Basketball Rankings -  Week 9 (Jan. 3),Notre Dame
17,16,Texas A&M,12-1,285,USA Today Coaches Poll,2010-11,9,2011 NCAA Men's Basketball Rankings -  Week 9 (Jan. 3),Texas A&M
18,17,Kansas State,11-3,271,USA Today Coaches Poll,2010-11,9,2011 NCAA Men's Basketball Rankings -  Week 9 (Jan. 3),Kansas State
19,18,UCF,13-0,204,USA Today Coaches Poll,2010-11,9,2011 NCAA Men's Basketball Rankings -  Week 9 (Jan. 3),UCF
20,19,Michigan State,9-4,203,USA Today Coaches Poll,2010-11,9,2011 NCAA Men's Basketball Rankings -  Week 9 (Jan. 3),Michigan State
21,20,Illinois,12-3,142,USA Today Coaches Poll,2010-11,9,2011 NCAA Men's Basketball Rankings -  Week 9 (Jan. 3),Illinois
22,21,Minnesota,11-3,128,USA Today Coaches Poll,2010-11,9,2011 NCAA Men's Basketball Rankings -  Week 9 (Jan. 3),Minnesota
23,22,Memphis,11-2,110,USA Today Coaches Poll,2010-11,9,2011 NCAA Men's Basketball Rankings -  Week 9 (Jan. 3),Memphis
24,23,Louisville,11-2,73,USA Today Coaches Poll,2010-11,9,2011 NCAA Men's Basketball Rankings -  Week 9 (Jan. 3),Louisville
25,24,Vanderbilt,11-2,71,USA Today Coaches Poll,2010-11,9,2011 NCAA Men's Basketball Rankings -  Week 9 (Jan. 3),Vanderbilt
26,25,Cincinnati,14-0,56,USA Today Coaches Poll,2010-11,9,2011 NCAA Men's Basketball Rankings -  Week 9 (Jan. 3),Cincinnati
2,1,Duke (65),15-0,1625,AP Top 25,2010-11,10,2011 NCAA Men's Basketball Rankings -  Week 10 (Jan. 10),Duke
3,2,Ohio State,16-0,1549,AP Top 25,2010-11,10,2011 NCAA Men's Basketball Rankings -  Week 10 (Jan. 10),Ohio State
4,3,Kansas,15-0,1489,AP Top 25,2010-11,10,2011 NCAA Men's Basketball Rankings -  Week 10 (Jan. 10),Kansas
5,4,Syracuse,16-0,1443,AP Top 25,2010-11,10,2011 NCAA Men's Basketball Rankings -  Week 10 (Jan. 10),Syracuse
6,5,Pittsburgh,15-1,1353,AP Top 25,2010-11,10,2011 NCAA Men's Basketball Rankings -  Week 10 (Jan. 10),Pittsburgh
7,6,San Diego State,17-0,1249,AP Top 25,2010-11,10,2011 NCAA Men's Basketball Rankings -  Week 10 (Jan. 10),San Diego State
8,7,Villanova,14-1,1248,AP Top 25,2010-11,10,2011 NCAA Men's Basketball Rankings -  Week 10 (Jan. 10),Villanova
9,8,Purdue,15-1,1105,AP Top 25,2010-11,10,2011 NCAA Men's Basketball Rankings -  Week 10 (Jan. 10),Purdue
10,9,Notre Dame,14-2,1069,AP Top 25,2010-11,10,2011 NCAA Men's Basketball Rankings -  Week 10 (Jan. 10),Notre Dame
11,10,Connecticut,12-2,1058,AP Top 25,2010-11,10,2011 NCAA Men's Basketball Rankings -  Week 10 (Jan. 10),Connecticut
12,11,BYU,16-1,925,AP Top 25,2010-11,10,2011 NCAA Men's Basketball Rankings -  Week 10 (Jan. 10),BYU
13,12,Texas,12-3,842,AP Top 25,2010-11,10,2011 NCAA Men's Basketball Rankings -  Week 10 (Jan. 10),Texas
14,13,Kentucky,12-3,808,AP Top 25,2010-11,10,2011 NCAA Men's Basketball Rankings -  Week 10 (Jan. 10),Kentucky
15,14,Texas A&M,14-1,807,AP Top 25,2010-11,10,2011 NCAA Men's Basketball Rankings -  Week 10 (Jan. 10),Texas A&M
16,15,Missouri,14-2,781,AP Top 25,2010-11,10,2011 NCAA Men's Basketball Rankings -  Week 10 (Jan. 10),Missouri
17,16,Illinois,13-3,655,AP Top 25,2010-11,10,2011 NCAA Men's Basketball Rankings -  Week 10 (Jan. 10),Illinois
18,17,Washington,12-3,540,AP Top 25,2010-11,10,2011 NCAA Men's Basketball Rankings -  Week 10 (Jan. 10),Washington
19,18,Louisville,13-2,345,AP Top 25,2010-11,10,2011 NCAA Men's Basketball Rankings -  Week 10 (Jan. 10),Louisville
20,19,Temple,11-3,232,AP Top 25,2010-11,10,2011 NCAA Men's Basketball Rankings -  Week 10 (Jan. 10),Temple
21,20,Wisconsin,12-3,231,AP Top 25,2010-11,10,2011 NCAA Men's Basketball Rankings -  Week 10 (Jan. 10),Wisconsin
22,21,Kansas State,12-4,217,AP Top 25,2010-11,10,2011 NCAA Men's Basketball Rankings -  Week 10 (Jan. 10),Kansas State
23,22,Georgetown,12-4,211,AP Top 25,2010-11,10,2011 NCAA Men's Basketball Rankings -  Week 10 (Jan. 10),Georgetown
24,23,UCF,14-1,170,AP Top 25,2010-11,10,2011 NCAA Men's Basketball Rankings -  Week 10 (Jan. 10),UCF
25,24,Georgia,12-2,145,AP Top 25,2010-11,10,2011 NCAA Men's Basketball Rankings -  Week 10 (Jan. 10),Georgia
26,25,Cincinnati,15-1,144,AP Top 25,2010-11,10,2011 NCAA Men's Basketball Rankings -  Week 10 (Jan. 10),Cincinnati
2,1,Duke (31),15-0,775,USA Today Coaches Poll,2010-11,10,2011 NCAA Men's Basketball Rankings -  Week 10 (Jan. 10),Duke
3,2,Ohio State,16-0,742,USA Today Coaches Poll,2010-11,10,2011 NCAA Men's Basketball Rankings -  Week 10 (Jan. 10),Ohio State
4,3,Kansas,15-0,713,USA Today Coaches Poll,2010-11,10,2011 NCAA Men's Basketball Rankings -  Week 10 (Jan. 10),Kansas
5,4,Syracuse,16-0,682,USA Today Coaches Poll,2010-11,10,2011 NCAA Men's Basketball Rankings -  Week 10 (Jan. 10),Syracuse
6,5,Pittsburgh,15-1,641,USA Today Coaches Poll,2010-11,10,2011 NCAA Men's Basketball Rankings -  Week 10 (Jan. 10),Pittsburgh
7,6,San Diego State,17-0,618,USA Today Coaches Poll,2010-11,10,2011 NCAA Men's Basketball Rankings -  Week 10 (Jan. 10),San Diego State
8,7,Villanova,14-1,589,USA Today Coaches Poll,2010-11,10,2011 NCAA Men's Basketball Rankings -  Week 10 (Jan. 10),Villanova
9,8,Purdue,15-1,549,USA Today Coaches Poll,2010-11,10,2011 NCAA Men's Basketball Rankings -  Week 10 (Jan. 10),Purdue
10,9,Connecticut,12-2,494,USA Today Coaches Poll,2010-11,10,2011 NCAA Men's Basketball Rankings -  Week 10 (Jan. 10),Connecticut
11,10,BYU,16-1,482,USA Today Coaches Poll,2010-11,10,2011 NCAA Men's Basketball Rankings -  Week 10 (Jan. 10),BYU
12,11,Notre Dame,14-2,450,USA Today Coaches Poll,2010-11,10,2011 NCAA Men's Basketball Rankings -  Week 10 (Jan. 10),Notre Dame
13,12,Missouri,14-2,407,USA Today Coaches Poll,2010-11,10,2011 NCAA Men's Basketball Rankings -  Week 10 (Jan. 10),Missouri
14,13,Texas A&M,14-1,395,USA Today Coaches Poll,2010-11,10,2011 NCAA Men's Basketball Rankings -  Week 10 (Jan. 10),Texas A&M
15,14,Texas,12-3,354,USA Today Coaches Poll,2010-11,10,2011 NCAA Men's Basketball Rankings -  Week 10 (Jan. 10),Texas
16,15,Kentucky,12-3,346,USA Today Coaches Poll,2010-11,10,2011 NCAA Men's Basketball Rankings -  Week 10 (Jan. 10),Kentucky
17,16,Illinois,13-3,323,USA Today Coaches Poll,2010-11,10,2011 NCAA Men's Basketball Rankings -  Week 10 (Jan. 10),Illinois
18,17,Louisville,13-2,224,USA Today Coaches Poll,2010-11,10,2011 NCAA Men's Basketball Rankings -  Week 10 (Jan. 10),Louisville
19,18,Washington,12-3,193,USA Today Coaches Poll,2010-11,10,2011 NCAA Men's Basketball Rankings -  Week 10 (Jan. 10),Washington
20,19,Georgetown,12-4,156,USA Today Coaches Poll,2010-11,10,2011 NCAA Men's Basketball Rankings -  Week 10 (Jan. 10),Georgetown
21,20,Kansas State,12-4,122,USA Today Coaches Poll,2010-11,10,2011 NCAA Men's Basketball Rankings -  Week 10 (Jan. 10),Kansas State
22,21,Wisconsin,12-3,95,USA Today Coaches Poll,2010-11,10,2011 NCAA Men's Basketball Rankings -  Week 10 (Jan. 10),Wisconsin
23,22,UCF,14-1,85,USA Today Coaches Poll,2010-11,10,2011 NCAA Men's Basketball Rankings -  Week 10 (Jan. 10),UCF
24,23,Temple,11-3,81,USA Today Coaches Poll,2010-11,10,2011 NCAA Men's Basketball Rankings -  Week 10 (Jan. 10),Temple
25,24,Michigan State,10-5,75,USA Today Coaches Poll,2010-11,10,2011 NCAA Men's Basketball Rankings -  Week 10 (Jan. 10),Michigan State
26,25,Minnesota,12-4,74,USA Today Coaches Poll,2010-11,10,2011 NCAA Men's Basketball Rankings -  Week 10 (Jan. 10),Minnesota
2,1,Ohio State (49),18-0,1606,AP Top 25,2010-11,11,2011 NCAA Men's Basketball Rankings -  Week 11 (Jan. 17),Ohio State
3,2,Kansas (6),17-0,1526,AP Top 25,2010-11,11,2011 NCAA Men's Basketball Rankings -  Week 11 (Jan. 17),Kansas
4,3,Syracuse (8),18-0,1523,AP Top 25,2010-11,11,2011 NCAA Men's Basketball Rankings -  Week 11 (Jan. 17),Syracuse
5,4,Duke (1),16-1,1393,AP Top 25,2010-11,11,2011 NCAA Men's Basketball Rankings -  Week 11 (Jan. 17),Duke
6,5,Pittsburgh (1),17-1,1382,AP Top 25,2010-11,11,2011 NCAA Men's Basketball Rankings -  Week 11 (Jan. 17),Pittsburgh
7,6,San Diego State,19-0,1294,AP Top 25,2010-11,11,2011 NCAA Men's Basketball Rankings -  Week 11 (Jan. 17),San Diego State
8,7,Villanova,16-1,1265,AP Top 25,2010-11,11,2011 NCAA Men's Basketball Rankings -  Week 11 (Jan. 17),Villanova
9,8,Connecticut,14-2,1148,AP Top 25,2010-11,11,2011 NCAA Men's Basketball Rankings -  Week 11 (Jan. 17),Connecticut
10,9,BYU,17-1,1057,AP Top 25,2010-11,11,2011 NCAA Men's Basketball Rankings -  Week 11 (Jan. 17),BYU
11,10,Texas,14-3,1015,AP Top 25,2010-11,11,2011 NCAA Men's Basketball Rankings -  Week 11 (Jan. 17),Texas
12,11,Texas A&M,16-1,996,AP Top 25,2010-11,11,2011 NCAA Men's Basketball Rankings -  Week 11 (Jan. 17),Texas A&M
13,12,Kentucky,14-3,975,AP Top 25,2010-11,11,2011 NCAA Men's Basketball Rankings -  Week 11 (Jan. 17),Kentucky
14,13,Missouri,15-3,758,AP Top 25,2010-11,11,2011 NCAA Men's Basketball Rankings -  Week 11 (Jan. 17),Missouri
15,14,Purdue,15-3,672,AP Top 25,2010-11,11,2011 NCAA Men's Basketball Rankings -  Week 11 (Jan. 17),Purdue
16,15,Minnesota,14-4,513,AP Top 25,2010-11,11,2011 NCAA Men's Basketball Rankings -  Week 11 (Jan. 17),Minnesota
17,16,Notre Dame,14-4,495,AP Top 25,2010-11,11,2011 NCAA Men's Basketball Rankings -  Week 11 (Jan. 17),Notre Dame
18,17,Michigan State,12-5,467,AP Top 25,2010-11,11,2011 NCAA Men's Basketball Rankings -  Week 11 (Jan. 17),Michigan State
19,18,Wisconsin,13-4,448,AP Top 25,2010-11,11,2011 NCAA Men's Basketball Rankings -  Week 11 (Jan. 17),Wisconsin
20,19,Louisville,14-3,438,AP Top 25,2010-11,11,2011 NCAA Men's Basketball Rankings -  Week 11 (Jan. 17),Louisville
21,20,Washington,13-4,409,AP Top 25,2010-11,11,2011 NCAA Men's Basketball Rankings -  Week 11 (Jan. 17),Washington
22,21,West Virginia,12-4,266,AP Top 25,2010-11,11,2011 NCAA Men's Basketball Rankings -  Week 11 (Jan. 17),West Virginia
23,22,Saint Mary's,16-2,195,AP Top 25,2010-11,11,2011 NCAA Men's Basketball Rankings -  Week 11 (Jan. 17),Saint Mary's
24,23,Illinois,13-5,146,AP Top 25,2010-11,11,2011 NCAA Men's Basketball Rankings -  Week 11 (Jan. 17),Illinois
25,23,Georgetown,13-5,146,AP Top 25,2010-11,11,2011 NCAA Men's Basketball Rankings -  Week 11 (Jan. 17),Georgetown
26,25,Cincinnati,16-2,125,AP Top 25,2010-11,11,2011 NCAA Men's Basketball Rankings -  Week 11 (Jan. 17),Cincinnati
2,1,Ohio State (28),18-0,772,USA Today Coaches Poll,2010-11,11,2011 NCAA Men's Basketball Rankings -  Week 11 (Jan. 17),Ohio State
3,2,Kansas (2),17-0,738,USA Today Coaches Poll,2010-11,11,2011 NCAA Men's Basketball Rankings -  Week 11 (Jan. 17),Kansas
4,3,Syracuse (1),18-0,715,USA Today Coaches Poll,2010-11,11,2011 NCAA Men's Basketball Rankings -  Week 11 (Jan. 17),Syracuse
5,4,Pittsburgh,17-1,653,USA Today Coaches Poll,2010-11,11,2011 NCAA Men's Basketball Rankings -  Week 11 (Jan. 17),Pittsburgh
6,5,Duke,16-1,641,USA Today Coaches Poll,2010-11,11,2011 NCAA Men's Basketball Rankings -  Week 11 (Jan. 17),Duke
7,6,San Diego State,19-0,633,USA Today Coaches Poll,2010-11,11,2011 NCAA Men's Basketball Rankings -  Week 11 (Jan. 17),San Diego State
8,7,Villanova,16-1,594,USA Today Coaches Poll,2010-11,11,2011 NCAA Men's Basketball Rankings -  Week 11 (Jan. 17),Villanova
9,8,Connecticut,14-2,531,USA Today Coaches Poll,2010-11,11,2011 NCAA Men's Basketball Rankings -  Week 11 (Jan. 17),Connecticut
10,9,BYU,17-1,529,USA Today Coaches Poll,2010-11,11,2011 NCAA Men's Basketball Rankings -  Week 11 (Jan. 17),BYU
11,10,Texas A&M,16-1,491,USA Today Coaches Poll,2010-11,11,2011 NCAA Men's Basketball Rankings -  Week 11 (Jan. 17),Texas A&M
12,11,Texas,14-3,454,USA Today Coaches Poll,2010-11,11,2011 NCAA Men's Basketball Rankings -  Week 11 (Jan. 17),Texas
13,12,Kentucky,14-3,439,USA Today Coaches Poll,2010-11,11,2011 NCAA Men's Basketball Rankings -  Week 11 (Jan. 17),Kentucky
14,13,Purdue,15-3,371,USA Today Coaches Poll,2010-11,11,2011 NCAA Men's Basketball Rankings -  Week 11 (Jan. 17),Purdue
15,14,Missouri,15-3,337,USA Today Coaches Poll,2010-11,11,2011 NCAA Men's Basketball Rankings -  Week 11 (Jan. 17),Missouri
16,15,Louisville,14-3,276,USA Today Coaches Poll,2010-11,11,2011 NCAA Men's Basketball Rankings -  Week 11 (Jan. 17),Louisville
17,16,Notre Dame,14-4,266,USA Today Coaches Poll,2010-11,11,2011 NCAA Men's Basketball Rankings -  Week 11 (Jan. 17),Notre Dame
18,17,Wisconsin,13-4,207,USA Today Coaches Poll,2010-11,11,2011 NCAA Men's Basketball Rankings -  Week 11 (Jan. 17),Wisconsin
19,18,Michigan State,12-5,187,USA Today Coaches Poll,2010-11,11,2011 NCAA Men's Basketball Rankings -  Week 11 (Jan. 17),Michigan State
20,19,Minnesota,14-4,183,USA Today Coaches Poll,2010-11,11,2011 NCAA Men's Basketball Rankings -  Week 11 (Jan. 17),Minnesota
21,20,Washington,13-4,182,USA Today Coaches Poll,2010-11,11,2011 NCAA Men's Basketball Rankings -  Week 11 (Jan. 17),Washington
22,21,Saint Mary's,16-2,153,USA Today Coaches Poll,2010-11,11,2011 NCAA Men's Basketball Rankings -  Week 11 (Jan. 17),Saint Mary's
23,22,Illinois,13-5,120,USA Today Coaches Poll,2010-11,11,2011 NCAA Men's Basketball Rankings -  Week 11 (Jan. 17),Illinois
24,23,Georgetown,13-5,119,USA Today Coaches Poll,2010-11,11,2011 NCAA Men's Basketball Rankings -  Week 11 (Jan. 17),Georgetown
25,24,Kansas State,13-5,66,USA Today Coaches Poll,2010-11,11,2011 NCAA Men's Basketball Rankings -  Week 11 (Jan. 17),Kansas State
26,25,Arizona,15-3,60,USA Today Coaches Poll,2010-11,11,2011 NCAA Men's Basketball Rankings -  Week 11 (Jan. 17),Arizona
2,1,Ohio State (63),20-0,1623,AP Top 25,2010-11,12,2011 NCAA Men's Basketball Rankings -  Week 12 (Jan. 24),Ohio State
