,RK,TEAM,RECORD,PTS,POLL,SEASON,WEEK,TITLE,TEAM_PARSED
11,10,Michigan State,0-0,439,USA Today Coaches Poll,2002-03,2,2003 NCAA Men's Basketball Rankings -  Week 2 (Nov. 18),Michigan State
12,11,Xavier,0-0,386,USA Today Coaches Poll,2002-03,2,2003 NCAA Men's Basketball Rankings -  Week 2 (Nov. 18),Xavier
13,12,UCLA,0-0,322,USA Today Coaches Poll,2002-03,2,2003 NCAA Men's Basketball Rankings -  Week 2 (Nov. 18),UCLA
14,13,Mississippi State,0-0,321,USA Today Coaches Poll,2002-03,2,2003 NCAA Men's Basketball Rankings -  Week 2 (Nov. 18),Mississippi State
15,14,Connecticut,0-0,314,USA Today Coaches Poll,2002-03,2,2003 NCAA Men's Basketball Rankings -  Week 2 (Nov. 18),Connecticut
16,15,Maryland,0-0,285,USA Today Coaches Poll,2002-03,2,2003 NCAA Men's Basketball Rankings -  Week 2 (Nov. 18),Maryland
17,16,Georgia,0-1,269,USA Today Coaches Poll,2002-03,2,2003 NCAA Men's Basketball Rankings -  Week 2 (Nov. 18),Georgia
18,17,Kentucky,0-0,262,USA Today Coaches Poll,2002-03,2,2003 NCAA Men's Basketball Rankings -  Week 2 (Nov. 18),Kentucky
19,18,Missouri,0-0,221,USA Today Coaches Poll,2002-03,2,2003 NCAA Men's Basketball Rankings -  Week 2 (Nov. 18),Missouri
20,19,Marquette,1-0,215,USA Today Coaches Poll,2002-03,2,2003 NCAA Men's Basketball Rankings -  Week 2 (Nov. 18),Marquette
21,20,Cincinnati,0-0,168,USA Today Coaches Poll,2002-03,2,2003 NCAA Men's Basketball Rankings -  Week 2 (Nov. 18),Cincinnati
22,21,Indiana,0-0,167,USA Today Coaches Poll,2002-03,2,2003 NCAA Men's Basketball Rankings -  Week 2 (Nov. 18),Indiana
23,22,Gonzaga,0-0,163,USA Today Coaches Poll,2002-03,2,2003 NCAA Men's Basketball Rankings -  Week 2 (Nov. 18),Gonzaga
24,23,Western Kentucky,0-0,151,USA Today Coaches Poll,2002-03,2,2003 NCAA Men's Basketball Rankings -  Week 2 (Nov. 18),Western Kentucky
25,24,Minnesota,0-0,86,USA Today Coaches Poll,2002-03,2,2003 NCAA Men's Basketball Rankings -  Week 2 (Nov. 18),Minnesota
26,25,Illinois,0-0,83,USA Today Coaches Poll,2002-03,2,2003 NCAA Men's Basketball Rankings -  Week 2 (Nov. 18),Illinois
2,1,Arizona (60),1-0,1740,AP Top 25,2002-03,3,2003 NCAA Men's Basketball Rankings -  Week 3 (Nov. 25),Arizona
3,2,Kansas (9),2-0,1679,AP Top 25,2002-03,3,2003 NCAA Men's Basketball Rankings -  Week 3 (Nov. 25),Kansas
4,3,Texas,2-0,1506,AP Top 25,2002-03,3,2003 NCAA Men's Basketball Rankings -  Week 3 (Nov. 25),Texas
5,4,Alabama,2-0,1493,AP Top 25,2002-03,3,2003 NCAA Men's Basketball Rankings -  Week 3 (Nov. 25),Alabama
6,5,Pittsburgh (1),1-0,1429,AP Top 25,2002-03,3,2003 NCAA Men's Basketball Rankings -  Week 3 (Nov. 25),Pittsburgh
