,SEASON,TEAM,BASKETBALL,FOOTBALL,BASEBALL,AVG
81,2014,North Carolina,14.777777777777779,22.0,15.142857142857142,17.306878306878307
82,2014,UCLA,22.0,13.8125,21.11111111111111,18.974537037037038
83,2014,Oklahoma State,22.333333333333332,20.2,12.3125,18.281944444444445
84,2014,TCU,25.0,8.416666666666666,14.2,15.87222222222222
85,2014,Arizona,5.222222222222222,14.454545454545455,23.0,14.225589225589227
86,2014,Washington,16.75,25.0,11.923076923076923,17.89102564102564
87,2014,Baylor,19.333333333333332,7.411764705882353,29.0,18.581699346405227
88,2014,Oklahoma,17.941176470588236,11.357142857142858,28.0,19.099439775910366
89,2014,Duke,3.3333333333333335,22.5,30.0,18.61111111111111
90,2014,Nebraska,21.0,19.642857142857142,24.666666666666668,21.76984126984127
91,2015,LSU,22.0,11.4,2.2777777777777777,11.892592592592592
92,2015,UCLA,23.5,16.0,6.722222222222222,15.407407407407407
93,2015,Oregon,16.454545454545453,14.333333333333334,12.4,14.395959595959596
94,2015,North Carolina,5.611111111111111,13.428571428571429,22.25,13.763227513227513
95,2015,Baylor,19.875,6.125,23.0,16.333333333333332
96,2015,Texas A&M,17.142857142857142,15.0,5.8125,12.651785714285714
97,2015,USC,22.0,15.125,16.3125,17.8125
98,2015,Notre Dame,20.166666666666668,8.75,24.4,17.772222222222222
99,2015,California,18.4,22.5,15.923076923076923,18.941025641025643
100,2015,Arizona,13.61111111111111,20.0,19.0,17.537037037037038
101,2015,Iowa,10.4,9.727272727272727,17.09090909090909,12.406060606060606
102,2015,Oklahoma,4.055555555555555,12.125,23.666666666666668,13.28240740740741
103,2016,Florida,19.923076923076923,18.0,1.8421052631578947,13.255060728744938
104,2016,Louisville,9.88888888888889,9.375,5.2631578947368425,8.175682261208577
105,2016,Miami,25.0,17.857142857142858,3.4210526315789473,15.42606516290727
106,2016,UCLA,6.777777777777778,16.0,20.5,14.425925925925926
107,2016,Oregon,12.38888888888889,23.333333333333332,14.0,16.574074074074073
108,2016,Florida State,15.857142857142858,12.3125,9.5,12.55654761904762
109,2016,North Carolina,7.833333333333333,19.166666666666668,12.0,13.0
110,2016,Michigan,25.0,4.3125,24.11111111111111,17.80787037037037
111,2016,Notre Dame,20.923076923076923,15.333333333333334,28.0,21.418803418803417
